num_returns,refund_amount,time_gap,mismatch,category_risk,loyalty,reason_pattern,fraud
1,3896.6753284753404,29,0,2,7,1,1
2,1512.2285938324114,18,0,4,8,0,0
0,4921.9084731197645,8,0,4,5,1,1
5,648.8681369389719,4,0,3,9,0,0
2,405.74309048543233,7,1,1,9,0,0
0,4103.118782554256,5,0,3,7,1,1
1,2837.597290609256,41,0,1,1,2,0
1,4817.187259186388,25,0,2,5,0,1
3,919.068480982284,24,0,1,7,2,0
1,3384.215746419348,49,0,2,4,2,0
4,2765.3413340995594,4,0,4,7,2,0
3,381.27903362158617,4,0,3,9,1,0
6,1670.9698388347688,7,0,2,3,2,1
4,1514.126623752964,16,0,2,6,0,0
2,813.9510553289663,32,0,3,6,1,0
3,3601.2565225860003,14,0,1,6,2,0
2,1380.81866290478,40,0,3,2,2,1
1,4765.049676444409,26,0,2,1,2,0
1,3576.2297580902737,6,1,2,3,2,1
2,2420.609160330904,32,0,4,9,0,1
5,2187.178794024624,7,0,3,9,0,1
3,4568.579368855825,26,0,4,7,2,0
3,817.3244426455663,25,0,1,1,1,0
4,1465.4265800069406,7,0,4,6,2,1
2,3416.967907163046,33,0,3,3,1,1
4,3685.993050247983,22,0,1,3,0,0
2,1154.7274608832631,14,0,1,9,2,0
4,4977.536388819786,31,0,2,1,0,1
0,1579.174835311501,12,0,1,3,1,0
2,4066.1810620828196,49,0,2,5,1,0
2,4297.982203512145,22,1,4,4,1,1
2,1063.4193837945388,27,0,4,6,2,0
2,520.8753418347723,11,1,3,5,0,1
4,2312.7279317945618,45,0,4,9,0,0
0,1307.1848586508488,19,0,2,6,1,0
1,4461.373896332412,33,0,4,8,0,1
3,3320.683371375433,36,1,3,8,2,1
3,934.822367977742,21,0,4,2,0,0
2,3372.3422460455827,5,0,1,7,0,1
1,2682.42210943524,13,0,3,6,0,1
1,1732.4449075078564,5,0,1,7,0,0
1,4142.905078461148,38,0,2,2,2,0
1,396.0166797441072,27,0,2,9,2,1
1,2854.86657211729,9,0,1,5,1,0
0,3317.518233929724,29,0,4,5,1,1
0,2798.513228868599,18,0,2,1,1,0
2,3304.149682071072,10,0,1,4,0,0
3,2377.419755725775,5,0,4,8,1,1
0,958.2062276032317,18,0,1,9,2,1
4,203.19868002756084,7,0,2,7,2,1
3,2420.791390975761,14,0,3,5,2,0
0,2141.12882486565,48,0,4,3,1,0
1,3137.7950299130957,23,0,4,6,0,0
2,167.4772360847969,41,0,2,5,1,0
2,4053.971114398099,7,0,3,2,0,1
1,2855.6394766656667,9,1,2,1,0,0
2,4023.358004990752,27,0,3,7,2,0
1,1279.7007792618854,36,0,1,4,0,0
0,1429.7725105300692,13,0,2,1,2,0
2,4398.5418654302985,2,0,2,8,2,1
3,1591.7683011832137,5,0,4,2,0,1
1,3469.7417499590447,44,0,1,5,2,1
2,1729.9698288013528,44,1,2,6,1,0
2,2019.297735050408,46,1,1,6,1,0
5,921.1136768020817,15,0,3,5,1,1
2,217.9863586049048,23,0,4,3,1,1
1,548.8526616148852,38,0,4,6,2,1
1,1382.4659405699754,48,0,2,7,1,0
6,4553.0245053099525,9,0,1,9,2,1
2,2394.0093227867283,15,0,2,8,1,0
1,1249.9825001851646,21,0,4,5,1,0
4,3403.879955862715,41,0,2,1,2,1
2,3253.2685229743956,26,0,3,4,2,0
4,496.5637356835684,45,0,1,8,2,0
2,2515.398224310572,5,0,4,2,2,1
2,512.7502820894622,16,0,1,3,2,0
1,3929.2179896281486,30,1,4,5,0,1
1,1707.340853401127,3,0,4,6,1,1
2,1202.2074752113679,30,0,3,6,2,0
2,1841.6433873882759,4,0,1,7,1,0
2,1346.158336811826,30,0,2,1,0,0
1,553.881520553098,27,0,4,5,1,0
2,4438.9219363766,16,0,4,2,2,1
2,1445.5058502255959,30,0,1,4,1,0
0,3817.223059904367,27,0,3,7,1,1
1,4520.011239960119,13,0,2,3,2,1
2,1184.2978707057541,16,1,3,3,0,1
3,3761.952352221733,4,0,3,4,0,0
2,1367.2716834750404,45,0,1,5,0,0
4,4693.471525580736,22,0,3,8,2,0
3,959.2366815167156,34,0,1,7,0,0
2,3819.143130204633,37,0,4,1,0,0
3,4729.804771983638,2,0,1,6,0,1
1,2594.6269371975477,6,1,1,6,1,1
2,843.6352823546788,38,0,3,1,1,0
3,4271.1831421930965,47,1,3,2,2,1
3,3782.494289787738,36,0,3,6,2,1
1,1978.4570188202192,20,0,3,4,1,0
2,1681.236508575673,9,0,4,7,0,0
0,348.72565301444,2,1,4,1,2,1
1,1037.8805309171892,37,0,1,2,0,0
1,4396.671233593669,44,0,4,6,0,0
3,1918.1432677636312,43,0,1,8,0,0
1,195.30451953181574,15,0,3,9,2,1
1,3180.0820849515417,43,0,4,8,1,0
2,4100.684565329904,34,0,3,1,2,1
2,2054.775842422563,16,0,3,6,1,0
0,1115.9940679467609,27,0,3,4,2,0
1,3894.1791498607417,34,0,2,6,2,0
0,4162.047281208783,11,0,4,9,2,1
1,4364.951628355731,23,0,1,2,1,0
1,1010.8112345753075,15,0,3,6,1,1
1,1046.969933118794,47,0,1,1,0,0
3,1346.9654352826105,26,0,2,8,1,0
3,2836.8693745597484,20,0,4,5,1,0
6,1760.2769415827026,6,0,2,2,1,1
3,3867.6766004525493,13,0,3,8,2,0
1,3195.6379873246574,38,0,4,9,1,0
2,3975.400282972968,29,0,1,3,2,0
1,4507.19327734195,14,0,2,7,0,1
3,4767.985091154869,8,0,4,3,1,0
0,569.3956517892739,49,0,4,5,1,1
0,3817.441429074686,27,1,1,5,1,0
5,2027.6900749944446,31,0,1,5,2,1
2,3879.6529827403697,16,0,4,9,0,0
1,1432.8376460448223,30,0,2,1,2,0
2,4299.937377741586,39,0,3,2,1,0
8,2673.965655624092,24,0,3,2,2,1
2,4499.0689086493785,38,0,2,7,2,1
1,2711.432752820571,39,0,4,1,0,1
2,3784.0285988855853,19,0,1,4,1,0
4,3958.231110031575,23,0,3,9,2,1
1,4227.565676184596,5,0,2,7,0,0
2,3313.930921437272,32,0,4,1,2,1
1,1815.080301033815,34,0,3,7,1,0
2,2767.027813239641,13,0,1,9,2,0
1,487.1639246862415,42,0,2,6,2,1
0,345.622860266893,33,0,1,2,2,0
0,3509.372840005964,30,0,4,6,0,1
2,3934.360866013906,2,0,4,4,2,0
2,737.1024858911928,22,0,1,2,0,1
1,3603.3140710337357,33,0,4,1,1,1
2,2058.8054900473217,37,0,3,5,2,1
2,3002.7040207747814,12,1,4,5,1,0
2,1075.5442244323444,45,1,4,7,1,1
1,2213.5209737157716,38,0,2,6,0,0
4,4418.004596066058,48,0,1,4,0,1
6,4187.525894771756,11,0,3,5,2,1
2,2019.9718325270453,11,0,2,3,1,0
4,3129.6031506376335,35,0,2,6,1,1
5,2277.2052127366646,28,0,2,2,2,0
4,2368.6381210145514,16,0,2,5,1,1
3,3832.048553085195,47,0,4,5,2,0
1,4261.153464218628,47,0,2,7,0,1
1,3819.4860195912343,46,0,4,4,1,0
1,1793.9265438801317,18,1,2,4,1,0
2,2155.9607295520896,43,0,3,1,1,1
1,3998.2649885876945,3,0,1,6,2,0
1,3260.355472816843,4,0,2,6,2,0
3,4356.306568819296,38,0,2,6,0,0
3,3727.030150019336,43,0,4,1,1,0
2,2666.67834228142,48,0,4,3,2,0
1,4197.894961995497,22,0,2,8,1,0
1,4206.905202175698,34,1,1,1,0,1
1,144.19394583827017,14,0,2,6,0,0
2,3835.1609678022905,16,0,3,1,1,0
4,1759.7663288423482,44,0,2,8,2,0
0,2358.9360221223424,19,0,1,4,2,0
2,3299.133804751694,8,0,2,1,0,1
3,3716.8988349056826,14,1,2,9,2,1
5,291.4390881434366,33,0,4,5,0,0
1,4119.546303914982,44,0,3,4,0,0
1,2872.3346979849116,43,0,1,1,0,0
2,3676.7782989372017,22,1,2,5,2,1
